grupo_controle,grupo_variante,metrica,n_pares,media_diaria_controle,media_diaria_variante,diferenca_media_diaria,lift_percentual,ic95_inferior,ic95_superior,estatistica_t,p_valor_t_pareado,estatistica_wilcoxon,p_valor_wilcoxon,significativo_5pct,direcao
Grupo 1,Grupo 2,compradores,92,104.70652173913044,117.54347826086956,12.83695652173913,12.259939790304163,9.102027510192691,16.57188553328557,6.827181209661029,9.44865104412735e-10,597.0,8.838071382826497e-09,True,AUMENTO
Grupo 1,Grupo 2,vendas totais,92,60925.79347826087,69816.26086956522,8890.467391304348,14.592288230889572,5104.804161547642,12676.130621061053,4.66492137477469,1.0563011200694926e-05,991.0,7.814911001083227e-06,True,AUMENTO
Grupo 1,Grupo 2,receita_liquida,92,4399.032608695652,3886.0760869565215,-512.9565217391304,-11.6606665002928,-743.7884503005438,-282.124593177717,-4.4141428889095735,2.783260414627771e-05,1084.5,4.0233790833505926e-05,True,REDUÇÃO
Grupo 1,Grupo 2,ticket_medio,92,585.8078856887154,594.5373949677951,8.729509279079554,1.490165887544609,-14.599191686187893,32.058210244347,0.7432946149494345,0.45921804498615004,1813.0,0.20429481562816998,False,AUMENTO
Grupo 1,Grupo 2,margem_liquida,92,0.07111415611190232,0.05601303674454498,-0.015101119367357356,-21.23503981906901,-0.01745999179503854,-0.012742246939676172,-12.71646493700142,6.803952424165931e-22,140.0,7.032319809656802e-15,True,REDUÇÃO
Grupo 1,Grupo 2,receita_por_comprador,92,41.657436574569566,33.27029456030915,-8.387142014260421,-20.133600873992528,-10.094062272256167,-6.680221756264676,-9.760284471375101,8.092452037152427e-16,326.0,1.669419819426768e-12,True,REDUÇÃO
Grupo 1,Grupo 3,compradores,92,104.70652173913044,124.02173913043478,19.315217391304348,18.4470050866812,14.189514762637401,24.440920019971294,7.4852775001296585,4.394713761389319e-11,528.0,9.675724119398043e-10,True,AUMENTO
Grupo 1,Grupo 3,vendas totais,92,60925.79347826087,73759.30434782608,12833.510869565218,21.064166975756144,8395.630051263717,17271.39168786672,5.7442265455078,1.2104682303361072e-07,826.0,3.1761051811071655e-07,True,AUMENTO
Grupo 1,Grupo 3,receita_liquida,92,4399.032608695652,2872.6847826086955,-1526.3478260869565,-34.697351937555446,-1919.6013444492262,-1133.0943077246868,-7.709791037756535,1.5213210491168448e-11,501.0,1.791720693649108e-10,True,REDUÇÃO
Grupo 1,Grupo 3,ticket_medio,92,585.8078856887154,593.5108382232379,7.702952534522267,1.3149281057331885,-15.530294326309313,30.93619939535385,0.6585807411163692,0.5118279090165048,1969.0,0.5079953501150993,False,AUMENTO
Grupo 1,Grupo 3,margem_liquida,92,0.07111415611190232,0.04401359737141261,-0.02710055874048973,-38.10852890927286,-0.032580829023330586,-0.021620288457648875,-9.82286054807196,5.986921248614432e-16,596.0,1.8749972354290532e-09,True,REDUÇÃO
Grupo 1,Grupo 3,receita_por_comprador,92,41.657436574569566,25.599530984793308,-16.057905589776265,-38.547512545644885,-19.33571212625296,-12.780099053299569,-9.731220087695792,9.308508921101098e-16,426.0,2.5537818906468136e-11,True,REDUÇÃO
